,vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC_purity,Quantity,Unit,Unit_mass_in_grams,Total_mass_in_grams
765,clearcartman,-1.0,797.5,2019-11-22 6:13:00,35 Piece - 797.5 USD - Exotic Cartridges 1 Gram Distillate Oil THC 80-85% $15.75/G,35.0,1,0.0,80.0,0.0,0,1.0,35.0
766,WackyWestWeed,-1.0,125.01,2018-12-30 11:34:00,7 Gram - 125.01 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,7.0,7.0
767,WackyWestWeed,-1.0,1210.64,2018-12-26 4:09:00,112 Gram - 1210.64 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,112.0,112.0
768,WackyWestWeed,-1.0,310.09,2018-12-24 9:30:00,21 Gram - 310.09 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,21.0,21.0
769,WackyWestWeed,-1.0,230.08,2018-12-21 3:56:00,14 Gram - 230.08 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,14.0,14.0
770,WackyWestWeed,-1.0,710.0,2018-12-04 1:42:00,56 Gram - 710 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,56.0,56.0
771,WackyWestWeed,-1.0,360.0,2018-12-03 9:32:00,28 Gram - 360 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,28.0,28.0
772,WackyWestWeed,-1.0,220.08,2019-11-20 3:32:00,14 Gram - 220.08 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,14.0,14.0
773,WackyWestWeed,-1.0,535.0,2019-11-17 7:52:00,42 Gram - 535 USD - Shatter-Strawberry Diesel-Grade A++ NugRun BHO,0.0,0,0.0,0.0,0.0,0,42.0,42.0
774,WackyWestWeed,-1.0,1362.96,2018-12-28 4:04:00,448 Gram - 1362.96 USD - SALE!-Skywalker OG-Grade A++ Weed,0.0,0,0.0,0.0,0.0,0,448.0,448.0
775,WackyWestWeed,-1.0,1412.24,2018-12-15 4:18:00,448 Gram - 1412.24 USD - SALE!-Skywalker OG-Grade A++ Weed,0.0,0,0.0,0.0,0.0,0,448.0,448.0
776,WackyWestWeed,-1.0,140.2,2018-12-15 7:44:00,28 Gram - 140.2 USD - SALE!-Skywalker OG-Grade A++ Weed,0.0,0,0.0,0.0,0.0,0,28.0,28.0
777,WackyWestWeed,-1.0,410.96,2018-12-12 12:51:00,112 Gram - 410.96 USD - SALE!-Skywalker OG-Grade A++ Weed,0.0,0,0.0,0.0,0.0,0,112.0,112.0
778,WackyWestWeed,-1.0,150.0,2018-12-10 12:36:00,28 Gram - 150 USD - SALE!-Skywalker OG-Grade A++ Weed,0.0,0,0.0,0.0,0.0,0,28.0,28.0
779,WackyWestWeed,-1.0,205.16,2019-05-14 6:12:00,28 Gram - 205.16 USD - SALE!-Death Star - Grade A+++ Premium Indoor Weed,0.0,0,0.0,0.0,0.0,0,28.0,28.0
780,WackyWestWeed,-1.0,205.16,2018-12-29 1:23:00,28 Gram - 205.16 USD - Pineapple - Grade A+++ Premium Indoor Weed,0.0,0,0.0,0.0,0.0,0,28.0,28.0
781,WackyWestWeed,-1.0,120.04,2018-12-13 2:56:00,14 Gram - 120.04 USD - Pineapple - Grade A+++ Premium Indoor Weed,0.0,0,0.0,0.0,0.0,0,14.0,14.0
782,WackyWestWeed,-1.0,253.95,2018-12-05 3:35:00,35 Gram - 253.95 USD - Pineapple - Grade A+++ Premium Indoor Weed,0.0,0,0.0,0.0,0.0,0,35.0,35.0
783,RealHarryWilson,-1.0,47.5,2018-12-31 8:58:00,5 Gram - 47.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,5.0,5.0
784,RealHarryWilson,-1.0,32.5,2018-12-31 5:17:00,3 Gram - 32.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,3.0,3.0
785,RealHarryWilson,-1.0,115.0,2018-12-30 7:07:00,14 Gram - 115 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,14.0,14.0
786,RealHarryWilson,-1.0,62.5,2018-12-28 4:43:00,7 Gram - 62.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,7.0,7.0
787,RealHarryWilson,-1.0,70.0,2018-12-27 5:53:00,8 Gram - 70 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,8.0,8.0
788,RealHarryWilson,-1.0,213.0,2018-12-25 4:03:00,28 Gram - 213 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,28.0,28.0
789,RealHarryWilson,-1.0,85.0,2018-12-21 4:03:00,10 Gram - 85 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,10.0,10.0
790,RealHarryWilson,-1.0,23.5,2018-12-17 8:33:00,3 Gram - 23.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,3.0,3.0
791,RealHarryWilson,-1.0,40.0,2018-12-17 7:21:00,4 Gram - 40 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,4.0,4.0
792,RealHarryWilson,-1.0,729.0,2018-12-13 6:39:00,112 Gram - 729 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,112.0,112.0
793,RealHarryWilson,-1.0,416.0,2018-12-13 5:13:00,58 Gram - 416 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,58.0,58.0
794,RealHarryWilson,-1.0,242.0,2018-12-12 2:36:00,32 Gram - 242 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,32.0,32.0
795,RealHarryWilson,-1.0,92.5,2018-12-12 12:43:00,11 Gram - 92.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,11.0,11.0
796,RealHarryWilson,-1.0,68.5,2018-12-08 6:11:00,9 Gram - 68.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,9.0,9.0
797,RealHarryWilson,-1.0,25.0,2018-12-07 8:49:00,2 Gram - 25 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,2.0,2.0
798,RealHarryWilson,-1.0,53.5,2018-12-07 5:29:00,7 Gram - 53.5 USD - Chiquita Banana - THC: 33% - 34%,0.0,0,0.0,33.0,0.0,0,7.0,7.0
799,-Lenas-BioLaden-,-1.0,-1.0,2018-12-26 8:16:00,10 Gram - 134.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,10.0,10.0
800,-Lenas-BioLaden-,-1.0,-1.0,2018-12-23 4:09:00,2 Gram - 33.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,2.0,2.0
801,-Lenas-BioLaden-,-1.0,-1.0,2018-12-21 9:37:00,8 Gram - 108 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,8.0,8.0
802,-Lenas-BioLaden-,-1.0,-1.0,2018-12-21 1:44:00,3 Gram - 43.5 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,3.0,3.0
803,-Lenas-BioLaden-,-1.0,-1.0,2018-12-19 5:27:00,3 Gram - 48.25 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,3.0,3.0
804,-Lenas-BioLaden-,-1.0,-1.0,2018-12-19 12:45:00,6 Gram - 85.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,6.0,6.0
805,-Lenas-BioLaden-,-1.0,-1.0,2018-12-17 9:59:00,5 Gram - 72.25 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,5.0,5.0
806,-Lenas-BioLaden-,-1.0,-1.0,2018-12-15 10:57:00,4 Gram - 62.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,4.0,4.0
807,-Lenas-BioLaden-,-1.0,-1.0,2018-12-15 9:58:00,25 Gram - 322.25 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,25.0,25.0
808,-Lenas-BioLaden-,-1.0,-1.0,2018-12-12 7:19:00,10 Gram - 144.89 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,10.0,10.0
809,-Lenas-BioLaden-,-1.0,-1.0,2018-12-12 8:43:00,1 Gram - 16 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,1.0,1.0
810,-Lenas-BioLaden-,-1.0,-1.0,2018-12-10 8:04:00,10 Gram - 138.49 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,10.0,10.0
811,-Lenas-BioLaden-,-1.0,-1.0,2018-12-10 12:08:00,5 Gram - 75.99 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,5.0,5.0
812,-Lenas-BioLaden-,-1.0,-1.0,2018-12-07 6:43:00,1 Gram - 20.75 EUR - * Lena\'s * CHEESE * Bio Weed * (Indica),0.0,0,0.0,0.0,0.0,0,1.0,1.0
813,budlighting,-1.0,95.0,2019-01-01 3:10:00,1 Ounce - 95 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,1.0,oz,0.0,28.35
814,budlighting,-1.0,1060.0,2018-12-31 1:51:00,16 Ounce - 1060 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,16.0,oz,0.0,453.6
815,budlighting,-1.0,1845.0,2018-12-31 4:21:00,26 Ounce - 1845 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,26.0,oz,0.0,737.1
816,budlighting,-1.0,165.0,2018-12-29 7:39:00,2 Ounce - 165 USD - **** Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,2.0,oz,0.0,56.7
817,budlighting,-1.0,320.0,2018-12-27 10:13:00,4 Ounce - 320 USD - Blue Goo (Light Depo) ****,0.0,0,0.0,0.0,4.0,oz,0.0,113.4
