Buyer_ID,Unique_Buys
cq,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cr,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
cs,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
ct,[]
cu,[]
cu,[]
cv,[]
cw,[]
cw,[]
cx,[]
cx,[]
cx,[]
cy,[]
cy,[]
cy,[]
cy,[]
cy,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d ,[]
d-,[]
d0,[]
d0,[]
d0,[]
d0,[]
d0,[]
d0,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d1,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d2,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d3,[]
d4,[]
d4,[]
d4,[]
d4,[]
d5,[]
d5,[]
d5,[]
d5,[]
d6,[]
d6,[]
d6,[]
d6,[]
d6,[]
d6,[]
d7,[]
d7,[]
d7,[]
d7,[]
d8,[]
d8,[]
d8,[]
d8,[]
d8,[]
d8,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
d9,[]
dG,[]
dZ,[]
da,[]
da,[]
da,[]
da,[]
da,[]
da,[]
db,[]
db,[]
dd,[]
dd,[]
dd,[]
de,[]
de,[]
de,[]
de,[]
de,[]
de,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dg,[]
dh,[]
dh,[]
dh,[]
di,[]
di,[]
di,[]
di,[]
dk,[]
dl,[]
dl,[]
dl,[]
dm,[]
dm,[]
dm,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
dn,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
do,[]
dp,[]
dp,[]
dp,[]
dp,[]
dr,[]
dr,[]
dr,[]
dr,[]
dr,[]
dr,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
ds,[]
dt,[]
dt,[]
dt,[]
dt,[]
dt,[]
du,[]
du,[]
dv,[]
dw,[]
dw,[]
dx,[]
dx,[]
dx,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dy,[]
dz,[]
dz,[]
dz,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e ,[]
e0,[]
e0,[]
e0,[]
e0,[]
e0,[]
e0,[]
e1,[]
e1,[]
e1,[]
e1,[]
e2,[]
e2,[]
e3,[]
e3,[]
e3,[]
e3,[]
e3,[]
e3,[]
e5,[]
e5,[]
e6,[]
e6,[]
e7,[]
e7,[]
e8,[]
e8,[]
e8,[]
e9,[]
e9,[]
eP,[]
ea,[]
ea,[]
eb,[]
ec,[]
ec,[]
ed,[]
ed,[]
ed,[]
ee,[]
ee,[]
ee,[]
ef,[]
ef,[]
eg,[]
eg,[]
eg,[]
ei,[]
el,[]
el,[]
el,[]
el,[]
el,[]
em,[]
em,[]
en,[]
en,[]
en,[]
en,[]
eo,[]
eo,[]
eo,[]
er,[]
er,[]
er,[]
er,[]
er,[]
er,[]
es,[]
es,[]
es,[]
es,[]
et,[]
et,[]
et,[]
et,[]
et,[]
eu,[]
ex,[]
ex,[]
ex,[]
ey,[]
ey,[]
ey,[]
ez,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f ,[]
f-,[]
f0,[]
f0,[]
f1,[]
f1,[]
f1,[]
f2,[]
f2,[]
f2,[]
f2,[]
f2,[]
f2,[]
