vendor_name,bitcoin_amt,USD,date,product_description,Count,can_be_vaped,is_edible,THC purity (%),Quantity/mass,Unit,Unit mass in grams,Total mass in grams
9f6a5994e64c157eb20d8046f5bea132,-1,-1,2017-11-02 21:32:38,5Gr King Hassan V2 Creamy Premium (THC 24%)(Import Coffee Shop),,,,24,,,5,
62036a76bf2da100bf9c06ce122ed202,-1,-1,2018-12-17 19:56:09,3 x sample new medical marijuana offer in my store,3,,,,,,,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-06 3:48:05,jungle boys tin top quality,,,,,,,,
7201861d07f5de1ba6689f769bb0b646,-1,-1,2019-01-09 0:05:13,3g - Premium Weed - Super Skunk,,,,,,,3,
874e9e1f715debb5844051dc1ae58979,-1,-1,2018-05-12 13:01:33,"7,5g Moby Dick Indoor",,,,,,,7.5,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-10 14:38:59,Exotic top quality grade,,,,,,,,
9f6a5994e64c157eb20d8046f5bea132,-1,-1,2017-11-17 18:09:12,2Gr Syria Hash Cream Premium (THC +18%),,,,18,,,2,
80ded044eed17526acc27355536f1f03,-1,-1,2018-08-10 7:02:50,MK ULTRA - INDICA - AAA*,,,,,,,,
32dd6832e87276bd9132b0dbf783491c,-1,-1,2018-01-29 21:08:34,Stardawg Cali Strain AAA+++ 3.5g FREE UK NDD,,,,,,,3.5,
228368bdbbbbb45d578e0382cacc9b0f,-1,-1,2018-03-26 16:22:51,,,,,,,,,
228368bdbbbbb45d578e0382cacc9b0f,-1,-1,2018-06-24 23:28:20,,,,,,,,,
bc0b5cbb30b50c8e3130d0185689cb97,-1,-1,2018-02-10 22:50:36,10g Super Silver Haze A++++ (Medical Grade),,,,,,,10,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-11-13 7:13:17,Medical Marijuana Buds Top Strains,,,,,,,,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-01-16 18:05:08,5gr Purple Kush / Haze A+ (Outdoor & Organic),,,,,,,5,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-01-13 13:31:07,25gr Purple Kush / Haze A+ (Outdoor & Organic),,,,,,,25,
5261f30a90a8f832f616ee61224ee40f,-1,-1,2018-02-07 8:10:09,7 GRAMS - HYDRO BUDS,,,,,,,7,
70c0918350524305fb64231384a59242,-1,-1,2018-06-29 6:23:36,5g of Blue Cheese Cream AAA+++,,,,,,,5,
758e0df4c5210cfefc3271e6623a3d72,-1,-1,2018-11-17 7:29:13,Buying Marijuana Online an oz,,,,,,,,
a3d8528a4b1a657aadad3f93f037f2c1,-1,-1,2018-04-03 21:10:38,??THC E-CIG?? LA CANNA ELETTRONICA WEEDVAPE JUICE 5ml (only italy shipping) TUTTI I TAGLI DISPONIBILI,,1,,,5,ml,,
a3d8528a4b1a657aadad3f93f037f2c1,-1,-1,2017-09-28 21:54:06,??THC E-CIG?? LA CANNA ELETTRONICA WEEDVAPE JUICE 15ml (only italy shipping),,1,,,15,ml,,
6161c6da49be6e9ce21c736fc6f72246,-1,-1,2018-12-25 10:16:59,20G of CHOCOLATE MINT OG - Indoor,,,,,,,20,
690d42d41fe6cc88aa06fad2f842e205,-1,-1,2018-12-10 18:11:06,"BLUE DREAM AVAILABLE,",,,,,,,,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2017-12-05 20:50:43,10gr Durban Poison A+ (Outdoor + Organic),,,,,,,10,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-02-09 23:31:34,25gr Durban Poison A+ (Outdoor + Organic),,,,,,,25,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2018-02-14 18:14:13,Magic Mushrooms B+ strain 7 grams,,,,,,,7,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2017-12-15 19:30:29,Magic Mushrooms B+ strain 14 grams,,,,,,,14,
030b4205f1fe6bfe406d88be04ae862c,-1,-1,2017-12-15 15:48:42,10gr AK-47 A++ (Outdoor & Organic),,,,,,,10,
8438ba1a66f83580db67292ecced8f9c,-1,-1,2017-10-20 13:31:27,,,,,,,,,
ee4087c55ff7be409dbee390b1f18b18,-1,-1,2018-10-10 12:08:39,5g Master Kush 24% thc,,,,24,,,5,
c12e0e6b6e4888fdda6280f464f83a2a,-1,-1,2018-12-17 6:59:54,1 POUND OF GRDE AAAAAAAA SOUR DIESEL KUSH AVAILABLE,,,,,1,lb,,
53c01b34173e788ff92ddad58916ca6f,-1,-1,2018-06-08 11:30:22,25g. Green Poison  indoor weed    - BIOLOGIC CULTIVATION -,,,,,,,25,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-07-05 20:52:46,"2.5g \""Amnesia Haze\"" 20%THC *Amsterdam Weed*",,,,20,,,2.5,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-08-02 15:50:13,"5g \""Amnesia Haze\"" 20%THC *Amsterdam Weed*",,,,20,,,5,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-08-10 20:20:24,"7.5g \""Amnesia Haze\"" 20%THC *Amsterdam Weed*",,,,20,,,7.5,
b09f475c5da310c27f798bda73de4ba9,-1,-1,2018-07-28 9:30:42,"25g \""Amnesia Haze\"" 20%THC *Amsterdam Weed*",,,,20,,,25,
054a13aa37ed397216c11ea660236618,-1,-1,2017-08-11 13:06:05,5 gr. GRAPEFRUIT--SUPER TOP INDOOR WEED MANDE IN HOLLAND- ZIOTUZZ,,,,,,,5,
054a13aa37ed397216c11ea660236618,-1,-1,2017-08-18 22:55:04,20 gr. GRAPEFRUIT --SUPER TOP INDOOR WEED MADE IN HOLLAND -ZIOTUZZ,,,,,,,20,
4a0004b552e849ad551bea1625fde753,-1,-1,2017-11-30 3:08:47,BACK IN STOCK Psilocybe Cubensis GT Strain ! 5g,,,,,,,5,
9f6a5994e64c157eb20d8046f5bea132,-1,-1,2017-10-30 8:55:51,"2Gr Habibi Premium (THC 22%)(Import Coffee,Great,Very Rare)",,,,22,,,2,
550d05ab240ec337038af814ff0de287,-1,-1,2018-03-26 20:00:58,Blue 69 (The love potion) 25ML ( 5ML per bottle),,,,,,,,
70c0918350524305fb64231384a59242,-1,-1,2018-07-18 9:49:58,5g of Super Skunk Cream AAA+++,,,,,,,5,
df652a9e29ec849c39f04f1997df9d81,-1,-1,2019-01-02 20:27:13,THC Medicated - Fruity Cutie Treats - 75mg each!,,,,,75,mg,,
70c0918350524305fb64231384a59242,-1,-1,2018-11-27 8:34:53,SPECIAL OFFER!!! 20g of Tutti Frutti Pollen AAA+++,,,,,,,20,
550d05ab240ec337038af814ff0de287,-1,-1,2018-11-24 11:24:43,1 gr. Amnesia haze weed,,,,,,,1,
550d05ab240ec337038af814ff0de287,-1,-1,2018-11-09 23:03:39,5 gr. Amnesia haze weed,,,,,,,5,
550d05ab240ec337038af814ff0de287,-1,-1,2018-12-26 23:00:11,10 gr. Amnesia haze weed,,,,,,,10,
202f94bb10cf9552beb47c24c077def9,-1,-1,2017-12-02 11:47:14,7g Purple Kush AAA **Indoor Topshelf**,,,,,,,7,
b3c323426f17142a74edd8cac693a0ed,-1,-1,2018-01-19 8:55:17,2.5 Gram *Amnesia Haze* Dutch HQ indoor grown,,,,,,,2.5,
b3c323426f17142a74edd8cac693a0ed,-1,-1,2018-04-23 13:36:34,10 Gram *Amnesia Haze* Dutch HQ indoor grown,,,,,,,10,
9f6a5994e64c157eb20d8046f5bea132,-1,-1,2018-01-15 6:47:34,5Gr Mexican Michoacan Creamy Premium (THC 20%),,,,20,,,5,
8c1b589bb2479bb8bc7f599bd320b129,-1,-1,2018-06-14 18:50:17,2gr - Skunk (Special Queen),,,,,,,2,
8438ba1a66f83580db67292ecced8f9c,-1,-1,2017-10-23 22:06:34,,,,,,,,,
5261f30a90a8f832f616ee61224ee40f,-1,-1,2017-11-01 3:52:48,14 GRAMS - HYDRO BUDS,,,,,,,14,
4ee6aa4d71ccfe51adbcd6d5b6bb71d3,-1,-1,2018-09-18 1:34:49,1oz Blue Dream-High Grade Greenhouse-Free Shipping,,,,,1,oz,,
2fd5d8bb03a339a2ef44aeddf0213d40,-1,-1,2018-08-15 17:38:53,20g A-Grade Weed,,,,,,,20,
70c0918350524305fb64231384a59242,-1,-1,2018-10-10 19:23:39,5g Banana Kush Cream AAA+++,,,,,,,5,
581e4d358f09a44eda7a86c87ec15e3e,-1,-1,2018-07-04 0:39:28,CRITICAL KUSH - 25 Gr. - Coffeeshop Quality -AAA+,,,,,,,25,
